Jahr,Wochennummer,Datum,Faelle,Tote
2020,9,2020-02-24,2,0
2020,10,2020-03-02,11.714,3.5
2020,11,2020-03-09,333.571,22.857
2020,12,2020-03-16,1326.286,94.429
2020,13,2020-03-23,1737.143,292.143
2020,14,2020-03-30,1425.143,378.286
2020,15,2020-04-06,1260.286,337.714
2020,16,2020-04-13,1213.286,241
2020,17,2020-04-20,897.571,154.429
2020,18,2020-04-27,486.143,102.286
2020,19,2020-05-04,403.571,68.714
2020,20,2020-05-11,265.571,34.286
2020,21,2020-05-18,306.143,24.429
2020,22,2020-05-25,338.429,16
2020,23,2020-06-01,174.429,10.286
2020,24,2020-06-08,156,7.286
2020,25,2020-06-15,127,5.429
2020,26,2020-06-22,142.286,3.143
2020,27,2020-06-29,290.857,4.5
2020,28,2020-07-06,571.143,3.429
2020,29,2020-07-13,1142.429,2.857
2020,30,2020-07-20,1218.571,8.143
2020,31,2020-07-27,1152.429,10.143
2020,32,2020-08-03,1017.714,7.857
2020,33,2020-08-10,1034.571,9.714
2020,34,2020-08-17,1152.571,9.714
2020,35,2020-08-24,1219,10.429
2020,36,2020-08-31,1132.857,11
2020,37,2020-09-07,994,9.286
2020,38,2020-09-14,1214.714,11.286
2020,39,2020-09-21,1112.714,11.429
2020,40,2020-09-28,1420,13.143
2020,41,2020-10-05,2128.286,16.429
2020,42,2020-10-12,2971.714,21
2020,43,2020-10-19,4879.571,32.714
2020,44,2020-10-26,4601.286,55.286
2020,45,2020-11-02,3729.571,70.571
2020,46,2020-11-09,2463.143,64.286
2020,47,2020-11-16,1686.571,55.571
2020,48,2020-11-23,1324.571,47.143
2020,49,2020-11-30,1181,45.714
2020,50,2020-12-07,1384.714,38.429
2020,51,2020-12-14,1984.143,33.143
2020,52,2020-12-21,1987.429,38
2020,53,2020-12-28,2653.5,30.2
