Jahr,Wochennummer,Wochenbeginn,Tote
2020,10,2020-03-02,3.5
2020,11,2020-03-09,22.857
2020,12,2020-03-16,94.429
2020,13,2020-03-23,292.143
2020,14,2020-03-30,378.286
2020,15,2020-04-06,337.714
2020,16,2020-04-13,241
2020,17,2020-04-20,154.429
2020,18,2020-04-27,102.286
2020,19,2020-05-04,68.714
2020,20,2020-05-11,34.286
2020,21,2020-05-18,24.429
2020,22,2020-05-25,16
2020,23,2020-06-01,10.286
2020,24,2020-06-08,7.286
2020,25,2020-06-15,5.429
2020,26,2020-06-22,3.143
2020,27,2020-06-29,4.5
2020,28,2020-07-06,3.429
2020,29,2020-07-13,2.857
2020,30,2020-07-20,8.143
2020,31,2020-07-27,10.143
2020,32,2020-08-03,7.857
2020,33,2020-08-10,9.714
2020,34,2020-08-17,9.714
2020,35,2020-08-24,10.429
2020,36,2020-08-31,11
2020,37,2020-09-07,9.286
2020,38,2020-09-14,11.286
2020,39,2020-09-21,11.429
2020,40,2020-09-28,13.143
2020,41,2020-10-05,16.429
2020,42,2020-10-12,21
2020,43,2020-10-19,32.714
2020,44,2020-10-26,55.286
2020,45,2020-11-02,70.571
2020,46,2020-11-09,64.286
2020,47,2020-11-16,55.571
2020,48,2020-11-23,47.143
2020,49,2020-11-30,45.714
2020,50,2020-12-07,38.429
2020,51,2020-12-14,33.143
2020,52,2020-12-21,38
2020,53,2020-12-28,30.2
