Ort,Zeit,Wert
Ciutadella,01,23.891
Ciutadella,02,23.464
Ciutadella,03,22.526
Ciutadella,04,21.596
Ciutadella,05,20.050
Ciutadella,06,19.745
Ciutadella,07,22.357
Ciutadella,08,29.019
Ciutadella,09,34.957
Ciutadella,10,34.947
Ciutadella,11,31.821
Ciutadella,12,26.115
Ciutadella,13,20.140
Ciutadella,14,16.798
Ciutadella,15,15.490
Ciutadella,16,15.156
Ciutadella,17,15.217
Ciutadella,18,16.161
Ciutadella,19,18.303
Ciutadella,20,22.638
Ciutadella,21,24.025
Ciutadella,22,24.624
Ciutadella,23,26.681
Ciutadella,24,22.721
Eixample,01,32.919
Eixample,02,30.472
Eixample,03,30.328
Eixample,04,28.424
Eixample,05,25.872
Eixample,06,26.393
Eixample,07,31.988
Eixample,08,43.375
Eixample,09,48.747
Eixample,10,47.138
Eixample,11,42.157
Eixample,12,37.732
Eixample,13,34.229
Eixample,14,32.814
Eixample,15,29.652
Eixample,16,27.670
Eixample,17,29.571
Eixample,18,32.752
Eixample,19,36.475
Eixample,20,39.621
Eixample,21,40.295
Eixample,22,39.536
Eixample,23,37.034
Eixample,24,31.390
Gràcia,01,30.237
Gràcia,02,27.688
Gràcia,03,25.786
Gràcia,04,24.492
Gràcia,05,22.517
Gràcia,06,24.102
Gràcia,07,30.068
Gràcia,08,40.772
Gràcia,09,46.446
Gràcia,10,44.464
Gràcia,11,39.818
Gràcia,12,35.094
Gràcia,13,32.045
Gràcia,14,28.363
Gràcia,15,25.435
Gràcia,16,23.523
Gràcia,17,25.037
Gràcia,18,27.929
Gràcia,19,31.685
Gràcia,20,34.981
Gràcia,21,36.627
Gràcia,22,36.477
Gràcia,23,36.738
Gràcia,24,30.540
Palau Reial,01,17.033
Palau Reial,02,15.249
Palau Reial,03,13.443
Palau Reial,04,13.624
Palau Reial,05,12.941
Palau Reial,06,13.520
Palau Reial,07,17.363
Palau Reial,08,26.062
Palau Reial,09,29.977
Palau Reial,10,26.348
Palau Reial,11,20.863
Palau Reial,12,16.878
Palau Reial,13,15.208
Palau Reial,14,12.943
Palau Reial,15,11.800
Palau Reial,16,10.747
Palau Reial,17,11.429
Palau Reial,18,14.399
Palau Reial,19,18.270
Palau Reial,20,20.955
Palau Reial,21,22.820
Palau Reial,22,23.161
Palau Reial,23,22.867
Palau Reial,24,19.269
Poblenou,01,31.851
Poblenou,02,30.361
Poblenou,03,28.679
Poblenou,04,25.804
Poblenou,05,24.314
Poblenou,06,26.339
Poblenou,07,31.329
Poblenou,08,36.783
Poblenou,09,38.438
Poblenou,10,36.925
Poblenou,11,32.314
Poblenou,12,27.882
Poblenou,13,24.347
Poblenou,14,21.091
Poblenou,15,19.009
Poblenou,16,18.522
Poblenou,17,19.866
Poblenou,18,22.186
Poblenou,19,25.745
Poblenou,20,28.991
Poblenou,21,31.283
Poblenou,22,32.950
Poblenou,23,33.264
Poblenou,24,29.578
Sants,01,26.366
Sants,02,23.809
Sants,03,23.302
Sants,04,22.865
Sants,05,21.557
Sants,06,20.163
Sants,07,23.292
Sants,08,31.200
Sants,09,35.392
Sants,10,33.795
Sants,11,28.134
Sants,12,23.181
Sants,13,19.391
Sants,14,16.770
Sants,15,14.691
Sants,16,13.361
Sants,17,13.839
Sants,18,15.988
Sants,19,19.531
Sants,20,23.960
Sants,21,26.611
Sants,22,27.495
Sants,23,28.284
Sants,24,24.752
Vall Hebron,01,24.977
Vall Hebron,02,22.815
Vall Hebron,03,21.003
Vall Hebron,04,19.916
Vall Hebron,05,19.641
Vall Hebron,06,22.040
Vall Hebron,07,26.611
Vall Hebron,08,33.674
Vall Hebron,09,31.214
Vall Hebron,10,24.273
Vall Hebron,11,20.788
Vall Hebron,12,18.713
Vall Hebron,13,16.847
Vall Hebron,14,14.645
Vall Hebron,15,13.134
Vall Hebron,16,12.305
Vall Hebron,17,13.190
Vall Hebron,18,16.302
Vall Hebron,19,20.319
Vall Hebron,20,24.000
Vall Hebron,21,27.631
Vall Hebron,22,30.390
Vall Hebron,23,31.732
Vall Hebron,24,29.825
